"","Ticket.ID","Issue.Type","Issue.Description","Case.Owner","Case.Owner.Description","Street.Address","City","State...Province","Zip...Postal.Code","Neighborhood...District...Ward...etc.","Created.Year.Month","Ticket.Created.Date...Time","Ticket.Last.Updated.Date...Time","Ticket.Closed.Date...Time","Ticket.Status","X.Coordinate","Y.Coordinate","Latitude","Longitude","Location.Geo..Coded","Method.Received","Goal.Days","Actual.Completed.Days"
"500773","13-10037389","RIGHT OF WAY - MAINTENANCE",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","13231 SW 68TH TER","Miami_Dade_County","Florida",33183,"District 10",20136,"06/18/2013 12:00:00 AM","11/20/2013 01:02:45 PM","11/20/2013 12:00:00 AM","CLOSED",851234.6,498566.4,25.704053,-80.407579,"13231 SW 68TH TER
MIAMI, Florida 33183
(25.704053, -80.407579)","XTERFACE",90,155
"503845","13-10056138","JUNK AND TRASH / OVERGROWTH",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","6131 CORAL WAY","Miami_Dade_County","Florida",33155,"District 6",20137,"07/29/2013 12:00:00 AM","08/23/2013 12:07:43 AM","08/14/2013 12:00:00 AM","CLOSED",888193.8,514923.5,25.748556,-80.295075,"6131 CORAL WAY
MIAMI, Florida 33155
(25.748556, -80.295075)","XTERFACE",90,16
"268930","15-10188131","VISUAL OBSTRUCTION SAFETY ISSUE (RAAM)",NA,"RAAM-27-93","RAAM-27-93","9250 SW 76TH TER","Miami_Dade_County","Florida",33173,"District 10",20156,"06/11/2015 07:28:59 AM","06/12/2015 01:57:56 PM","06/12/2015 01:57:56 PM","CLOSED",872231.311,496368.997,25.697734,-80.343848,"9250 SW 76TH TER
MIAMI, Florida 33173
(25.697734, -80.343848)","PHONE",10,1
"402733","17-10029808","DEAD ANIMAL PICKUP MD",NA,"Animal_Services","Animal Services","16550 SW 147TH AVE","Miami_Dade_County","Florida",33187,"District 9",20171,"01/25/2017 01:48:13 PM","01/28/2017 08:27:52 AM","01/28/2017 08:27:52 AM","CLOSED",843767.941,465590.407,25.613414,-80.430685,"16550 SW 147TH AVE
MIAMI, Florida 33187
(25.613414, -80.430685)","PHONE",4,3
"164317","14-10300906","TREE TRIMMING (RAAM)",NA,"RAAM-27-93","RAAM-27-93","10399 NW 22ND AVE","Miami_Dade_County","Florida",33147,"District 2",20144,"04/07/2014 01:34:39 PM","04/10/2014 10:52:40 AM","04/10/2014 10:51:46 AM","CLOSED",907946.67,558883.681,25.869196,-80.23429,"10399 NW 22ND AVE
MIAMI, Florida 33147
(25.869196, -80.23429)","PHONE",30,3
"237121","15-10018693","WHITEFLY (RAAM)",NA,"RAAM-27-93","RAAM-27-93","15380 SW 57TH TER","Miami_Dade_County","Florida",33193,"District 11",20151,"01/16/2015 11:04:25 AM","02/17/2015 08:36:43 AM","02/17/2015 08:36:43 AM","CLOSED",839786.728,501404.949,25.711999,-80.442308,"15380 SW 57TH TER
MIAMI, Florida 33193
(25.711999, -80.442308)","PHONE",30,32
"314953","16-10000050","SIDEWALK GRINDING",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","13720 SW 104TH TER","Miami_Dade_County","Florida",33186,"District 11",201512,"12/30/2015 07:39:00 AM","12/30/2015 12:00:00 AM","12/30/2015 12:00:00 AM","CLOSED",848104.627,486311.375,25.670373,-80.417248,"13720 SW 104TH TER
MIAMI, Florida 33186
(25.670373, -80.417248)","XTERFACE",30,0
"636208","18-10038345","FAILURE TO OBTAIN A CERTIFICATE OF USE",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","27742 S FEDERAL HWY","Miami_Dade_County","Florida",33032,"District 9",20181,"01/29/2018 12:02:48 PM","03/16/2018 09:12:06 AM","","LOCKED",841769,427713,25.509222,-80.437238,"27742 S FEDERAL HWY
MIAMI, Florida 33032
(25.509222, -80.437238)","XTERFACE",180,NA
"350086","16-10208255","SIDEWALK BROKEN / RAISED",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","10000 SW 56TH ST","Miami_Dade_County","Florida",33165,"District 10",20166,"06/01/2016 12:15:39 PM","07/06/2016 12:00:00 AM","06/01/2016 12:25:53 PM","CLOSED",867748.093,502771.066,25.715408,-80.357368,"10000 SW 56TH ST
MIAMI, Florida 33165
(25.715408, -80.357368)","PHONE",30,0
"525124","14-10215547","AUTO REPAIRS - RESIDENTIAL",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","11206 SW 211TH ST","Miami_Dade_County","Florida",33189,"District 9",20142,"02/04/2014 12:00:00 AM","03/28/2014 01:25:26 AM","02/05/2014 12:00:00 AM","CLOSED",863014.438,450319.813,25.57116,-80.3725,"11206 SW 211TH ST
MIAMI, Florida 33189
(25.57116, -80.3725)","XTERFACE",120,1
"125701","13-10130173","DRAIN TOPS CLEANED",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","2300 NW 89TH TER","Miami_Dade_County","Florida",33147,"District 2",201311,"11/06/2013 09:01:00 AM","11/06/2013 12:00:00 AM","11/06/2013 12:00:00 AM","CLOSED",907368.561,554028.998,25.855849,-80.236134,"2300 NW 89TH TER
MIAMI, Florida 33147
(25.855849, -80.236134)","XTERFACE",1,0
"577521","15-10289318","COMMERCIAL VEHICLE - UNAUTHORIZED",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","3330 SW 79TH CT","Miami_Dade_County","Florida",33155,"District 10",20158,"08/31/2015 12:00:00 AM","09/29/2017 01:13:01 AM","11/14/2015 11:14:59 AM","CLOSED",878434.188,511453.031,25.739148,-80.324778,"3330 SW 79TH CT
MIAMI, Florida 33155
(25.739148, -80.324778)","XTERFACE",120,75
"624002","17-10190505","JUNK AND TRASH / OVERGROWTH",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","15910 SW 109TH AVE","Miami_Dade_County","Florida",33157,"District 9",20175,"05/22/2017 09:58:56 AM","03/12/2018 06:12:05 AM","08/08/2017 02:12:04 PM","CLOSED",863654.872,468472.096,25.621095,-80.370295,"15910 SW 109TH AVE
MIAMI, Florida 33157
(25.621095, -80.370295)","EMAIL",90,78
"608697","16-10411047","JUNK AND TRASH / OVERGROWTH",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","1885 NW 83RD ST","Miami_Dade_County","Florida",33147,"District 2",201610,"10/18/2016 12:00:00 AM","11/03/2016 03:12:05 PM","11/03/2016 03:09:01 PM","CLOSED",909637,552025,25.8503,-80.229273,"1885 NW 83RD ST
MIAMI, Florida 33147
(25.8503, -80.229273)","XTERFACE",90,16
"305095","15-10383687","TRAFFIC SIGNAL OUT OF SYNC WITH OTHER TRAFFIC SIGNALS (SAME DIRECTION OF TRAVEL)",NA,"Public_Works_traffic_Signals_And_Signs-15-60","Public_Works_traffic_Signals_And_Signs-15-60","1700 NW 38TH ST","City_of_Miami","Florida",33142,"District 3",201511,"11/10/2015 06:00:01 PM","12/09/2015 12:00:00 AM","11/10/2015 06:28:05 PM","CLOSED",911451.292,537713.371,25.810896,-80.224013,"1700 NW 38TH ST
MIAMI, Florida 33142
(25.810896, -80.224013)","PHONE",30,0
"234393","15-10003746","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","7222 SW 22ND ST","Miami_Dade_County","Florida",33155,"District 6",20151,"01/05/2015 04:30:50 PM","01/08/2015 11:25:09 AM","01/08/2015 11:25:09 AM","CLOSED",882563.933,515519.386,25.750277,-80.312169,"7222 SW 22ND ST
MIAMI, Florida 33155
(25.750277, -80.312169)","PHONE",30,3
"564522","15-10076675","SIGNS ON THE ROW",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","12699 SW 26TH ST","Miami_Dade_County","Florida",33175,"District 11",20153,"03/06/2015 12:00:00 AM","04/28/2015 04:06:12 PM","04/28/2015 02:38:57 PM","CLOSED",853621.19,513103.19,25.744018,-80.400131,"12699 SW 26TH ST
MIAMI, Florida 33175
(25.744018, -80.400131)","XTERFACE",30,53
"576575","15-10273169","UNAUTHORIZED USE - RESIDENTIAL / BUSINESS",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","16205 SW 117TH AVE","Miami_Dade_County","Florida",33177,"District 9",20158,"08/18/2015 12:03:00 PM","09/02/2015 12:18:09 PM","09/02/2015 12:17:58 PM","CLOSED",860239.874,467385.501,25.61815,-80.380675,"16205 SW 117TH AVE
MIAMI, Florida 33177
(25.61815, -80.380675)","INHOUSE",180,15
"487277","17-10221897","STRAY / DOG-AT-LARGE",NA,"Animal_Services","Animal Services","15TH ST & EUCLID AVE","City_of_Miami_Beach","Florida",33139,"District 5",20176,"06/12/2017 12:44:46 PM","06/15/2017 11:26:54 AM","06/15/2017 11:26:54 AM","CLOSED",940684.561,529384.434,25.787481,-80.135327,"15TH ST &amp; EUCLID AVE
MIAMI, Florida 33139
(25.787481, -80.135327)","PHONE",3,3
